縣市 ID, 鄉鎮市區 ID, URL
古坑鄉 , 7050020 , http://www.cec.gov.tw/zh_TW/P1/n705002000000000.html
六腳鄉 , 7060001 , http://www.cec.gov.tw/zh_TW/P1/n706000100000000.html
東石鄉 , 7060002 , http://www.cec.gov.tw/zh_TW/P1/n706000200000000.html
朴子市 , 7060003 , http://www.cec.gov.tw/zh_TW/P1/n706000300000000.html
太保市 , 7060004 , http://www.cec.gov.tw/zh_TW/P1/n706000400000000.html
布袋鎮 , 7060005 , http://www.cec.gov.tw/zh_TW/P1/n706000500000000.html
義竹鄉 , 7060006 , http://www.cec.gov.tw/zh_TW/P1/n706000600000000.html
鹿草鄉 , 7060007 , http://www.cec.gov.tw/zh_TW/P1/n706000700000000.html
水上鄉 , 7060008 , http://www.cec.gov.tw/zh_TW/P1/n706000800000000.html
溪口鄉 , 7060009 , http://www.cec.gov.tw/zh_TW/P1/n706000900000000.html
大林鎮 , 7060010 , http://www.cec.gov.tw/zh_TW/P1/n706001000000000.html
梅山鄉 , 7060011 , http://www.cec.gov.tw/zh_TW/P1/n706001100000000.html
新港鄉 , 7060012 , http://www.cec.gov.tw/zh_TW/P1/n706001200000000.html
民雄鄉 , 7060013 , http://www.cec.gov.tw/zh_TW/P1/n706001300000000.html
竹崎鄉 , 7060014 , http://www.cec.gov.tw/zh_TW/P1/n706001400000000.html
中埔鄉 , 7060015 , http://www.cec.gov.tw/zh_TW/P1/n706001500000000.html
番路鄉 , 7060016 , http://www.cec.gov.tw/zh_TW/P1/n706001600000000.html
阿里山鄉 , 7060017 , http://www.cec.gov.tw/zh_TW/P1/n706001700000000.html
大埔鄉 , 7060018 , http://www.cec.gov.tw/zh_TW/P1/n706001800000000.html
里港鄉 , 7070001 , http://www.cec.gov.tw/zh_TW/P1/n707000100000000.html
高樹鄉 , 7070002 , http://www.cec.gov.tw/zh_TW/P1/n707000200000000.html
三地門鄉 , 7070003 , http://www.cec.gov.tw/zh_TW/P1/n707000300000000.html
霧臺鄉 , 7070004 , http://www.cec.gov.tw/zh_TW/P1/n707000400000000.html
九如鄉 , 7070005 , http://www.cec.gov.tw/zh_TW/P1/n707000500000000.html
鹽埔鄉 , 7070006 , http://www.cec.gov.tw/zh_TW/P1/n707000600000000.html
長治鄉 , 7070007 , http://www.cec.gov.tw/zh_TW/P1/n707000700000000.html
內埔鄉 , 7070008 , http://www.cec.gov.tw/zh_TW/P1/n707000800000000.html
瑪家鄉 , 7070009 , http://www.cec.gov.tw/zh_TW/P1/n707000900000000.html
泰武鄉 , 7070010 , http://www.cec.gov.tw/zh_TW/P1/n707001000000000.html
竹田鄉 , 7070011 , http://www.cec.gov.tw/zh_TW/P1/n707001100000000.html
萬巒鄉 , 7070012 , http://www.cec.gov.tw/zh_TW/P1/n707001200000000.html
潮州鎮 , 7070013 , http://www.cec.gov.tw/zh_TW/P1/n707001300000000.html
屏東市 , 7070014 , http://www.cec.gov.tw/zh_TW/P1/n707001400000000.html
麟洛鄉 , 7070015 , http://www.cec.gov.tw/zh_TW/P1/n707001500000000.html
萬丹鄉 , 7070016 , http://www.cec.gov.tw/zh_TW/P1/n707001600000000.html
新園鄉 , 7070017 , http://www.cec.gov.tw/zh_TW/P1/n707001700000000.html
崁頂鄉 , 7070018 , http://www.cec.gov.tw/zh_TW/P1/n707001800000000.html
南州鄉 , 7070019 , http://www.cec.gov.tw/zh_TW/P1/n707001900000000.html
新埤鄉 , 7070020 , http://www.cec.gov.tw/zh_TW/P1/n707002000000000.html
來義鄉 , 7070021 , http://www.cec.gov.tw/zh_TW/P1/n707002100000000.html
東港鎮 , 7070022 , http://www.cec.gov.tw/zh_TW/P1/n707002200000000.html
林邊鄉 , 7070023 , http://www.cec.gov.tw/zh_TW/P1/n707002300000000.html
佳冬鄉 , 7070024 , http://www.cec.gov.tw/zh_TW/P1/n707002400000000.html
枋寮鄉 , 7070025 , http://www.cec.gov.tw/zh_TW/P1/n707002500000000.html
春日鄉 , 7070026 , http://www.cec.gov.tw/zh_TW/P1/n707002600000000.html
枋山鄉 , 7070027 , http://www.cec.gov.tw/zh_TW/P1/n707002700000000.html
獅子鄉 , 7070028 , http://www.cec.gov.tw/zh_TW/P1/n707002800000000.html
牡丹鄉 , 7070029 , http://www.cec.gov.tw/zh_TW/P1/n707002900000000.html
車城鄉 , 7070030 , http://www.cec.gov.tw/zh_TW/P1/n707003000000000.html
滿州鄉 , 7070031 , http://www.cec.gov.tw/zh_TW/P1/n707003100000000.html
恆春鎮 , 7070032 , http://www.cec.gov.tw/zh_TW/P1/n707003200000000.html
琉球鄉 , 7070033 , http://www.cec.gov.tw/zh_TW/P1/n707003300000000.html
臺東市 , 7100001 , http://www.cec.gov.tw/zh_TW/P1/n710000100000000.html
成功鎮 , 7100002 , http://www.cec.gov.tw/zh_TW/P1/n710000200000000.html
關山鎮 , 7100003 , http://www.cec.gov.tw/zh_TW/P1/n710000300000000.html
卑南鄉 , 7100004 , http://www.cec.gov.tw/zh_TW/P1/n710000400000000.html
鹿野鄉 , 7100005 , http://www.cec.gov.tw/zh_TW/P1/n710000500000000.html
